"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,2,2,2,2,0,7,NA,NA,NA,1,3,2,2,NA,NA,NA,NA,0.9414,-0.719,1.0763,1.4771,-0.7778,0.3155,-0.1933,0.9725,46,76,15,NA,NA,-0.4725,0.6196,1.8543,2.2879,1.1483,1.0991,NA,NA,20,-0.4343,-0.1108,-0.3881
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0,1,1,1,0,0,NA,-1.0005,1.4475,3.1829,-2.4476,0.0194,0.7231,0.5094,2.4511,0.3708,3.2775,-0.1933,0.9725,47,NA,18,3.55534806148941,450,-0.3381,-0.2067,-0.1651,-0.2882,0.0333,0.5658,-1.5255,0.6524,6,0.2834,-1.1264,0.2882
0,0,0,0,0,0,1,0,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,2,0,2,2,2,7,2,2,2,2,4,4,1,-0.2683,1.4475,-1.1299,-0.1329,NA,NA,-0.1522,NA,0.3708,NA,-0.1933,NA,89,25,26,1.6094379124341,1750,-0.8616,0.5209,0.1111,0.4252,-1.039,1.0991,0.0134,-0.3816,10,0.0433,-0.6281,-0.5388
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,3,NA,-2.4162,1.4475,0.5258,0.6418,-1.2357,3.0127,0.1404,-0.7097,-1.4463,-2.0792,0.7165,-0.8649,32,25,NA,2.89037175789616,780,-0.082,2.5493,1.8543,2.2879,2.1017,1.0991,-1.5255,-1.9656,10,-0.4343,1.1563,0.2596
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,2,0,0,1,1,4,1,1,0,0,3,2,0,0.6,-0.1164,1.321,-0.6102,2.0177,-0.2385,0.5094,-0.7427,-0.5555,1.4863,2.1552,1.4489,70,76,NA,4.14313472639153,2520,0.2067,-0.0556,1.8543,-0.9867,-0.062,1.0991,-1.5255,-0.3369,11,0.0058,-1.0509,0.064
0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,3,4,1,-2.4162,-0.1164,1.3136,-0.6102,1.1225,3.0127,-0.395,-1.2668,0.8353,3.2775,-0.1933,-1.7518,53,NA,NA,2.39789527279837,1500,-0.4725,0.163,1.8543,0.395,-0.5601,-0.3306,2.4994,2.0469,6,-1.6287,-0.7541,-0.6741
1,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,3,0,1,2,1,NA,NA,NA,-0.5753,0.7896,1.3245,-1.142,-2.8511,1.0134,-2.1154,-2.4981,-1.9301,1.2218,-2.2945,-1.7518,NA,NA,NA,3.71357206670431,NA,-1.3956,-0.0436,-0.8797,-1.6454,-0.9515,NA,-0.413,-0.0559,18,NA,NA,NA
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,6,1,1,0,1,4,4,NA,0.0039,-0.1164,0.2087,-0.0718,0.1614,0.3951,-0.8208,-0.2865,-0.7778,0.9475,-0.1933,-1.7518,45,69,48,2.99573227355399,NA,-0.3381,0.206,-0.5336,-0.2882,-0.3735,0.1004,-0.8636,-1.274,6,-0.8341,-0.5343,1.946
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,NA,1,2,2,0,0.0039,-1.3072,-0.2795,-0.2213,-1.2845,0.7231,-0.8208,-0.3815,-0.2392,0.3155,-1.1073,-1.7518,50,NA,24,2.99573227355399,2000,-0.969,1.0496,0.645,-1.8363,-1.0895,-1.2588,0.0134,-1e-04,12,-0.7039,-1.0757,-0.6681
