"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,2,0,0,0,3,5,1,1,1,2,4,2,NA,1.3751,0.9209,1.2021,0.0532,0.099,0.6086,-0.4593,0.2913,-0.0289,0.2938,-0.1933,-1.7518,70,71,70,2.30258509299405,1800,-0.3381,-0.4305,1.8543,-0.2882,0.0333,1.0991,1.2341,0.6524,9,1.0478,1.1563,2.8408
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,1,1,0.5529,1.4475,0.6506,2.0781,1.8015,0.6385,0.5094,-0.2865,0.4152,0.3155,0.0987,0.5347,75,69,47,3.04452243772342,2250,-2.032,-0.9109,1.8543,1.164,1.0765,1.0991,0.9443,0.702,7,-0.2107,1.1563,-0.7285
1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,3,7,1,1,1,1,3,2,1,0.8934,0.4922,0.084,0.4587,-0.7241,-0.645,0.0992,0.4063,0.7648,-1.479,0.5002,-0.8649,69,22,60,NA,1750,-3.1297,-0.4331,0.959,-0.2882,0.5587,1.0991,1.1758,0.6524,6,NA,-0.6483,-0.2472
0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,1,1,1,2,2,4,2,3,0.4046,0.3028,0.2066,-0.2836,-0.1306,-0.4382,0.5094,0.0487,-0.7778,0.0773,-0.1933,-0.2539,50,50,33,2.39789527279837,2450,-1.2158,-0.0374,-0.2803,-0.2882,-1.3255,0.1018,-0.7648,-0.3369,12,2.1655,-0.7541,0.7176
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,2,1,-0.4889,1.4475,0.9452,-0.0718,-1.2707,0.7231,2.1635,0.1042,0.3708,-1.0524,2.1552,1.4066,53,25,NA,3.89182029811063,1750,-0.1784,-0.2729,0.8101,0.5759,2.1017,-0.3954,1.0606,0.6524,7,-0.831,-0.7541,-0.3345
1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,4,0,1,0,0,2,2,0,-0.2054,-0.0705,-1.375,0.4505,-1.2707,0.7231,-1.4311,-0.4151,-0.7778,-1.0524,-0.1933,-1.7518,27,28,12,1.79175946922805,2200,-0.983,0.0153,-0.1651,-0.7876,-0.1238,-0.889,0.0134,-0.3816,6,-0.4365,-2.1806,2.0474
1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,2,1,0,1,0,5,1,1,0,1,0,0,1,-1.1306,0.6375,0.694,-0.2836,-0.8235,1.4869,0.5094,0.7048,0.9798,0.1049,0.8102,0.3745,45,NA,23,2.19722457733622,1350,-0.3612,1.1338,0.8101,0.395,-0.3735,0.5658,0.5054,0.0214,7,-0.356,-0.1108,-0.4505
1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,2,0,1,2,3,2,0,0.5529,0.9133,-0.0077,0.8729,-1.0041,0.2486,-1.7159,0.3411,-0.5375,-1.4635,0.7817,-1.7518,53,25,NA,2.94443897916644,1400,-0.928,1.3418,0.4094,1.5899,1.4758,1.0991,0.0134,0.353,10,-0.2818,0.0659,1.244
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,1,0,0,1,1,4,4,1,-1.3287,-2.043,-0.7642,-1.2233,-0.7058,-1.7932,-2.1154,-0.9308,-0.7778,-1.4326,-0.1933,-0.8649,57,76,28,1.6094379124341,1600,-0.9997,2.5493,1.3961,0.4252,2.1017,-1.828,-1.1537,-1.9656,15,-0.2818,0.1927,2.4391
1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,2,0,1,0,0,0,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,-0.9625,-0.0774,0.0388,-0.021,-0.494,-0.5944,1.5073,-0.7976,73,NA,74,2.77258872223978,1350,-0.9454,-1.1148,1.3961,0.9455,-1.3523,0.5658,NA,NA,6,-0.1892,-0.4966,1.282
0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,3.13549421592915,2450,-0.9585,0.455,0.959,-0.9705,0.1309,-1.7562,NA,NA,8,-0.7039,-2.1544,-1.2349
0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,2,0,1,1,2,5,1,0,1,1,3,3,2,-0.1023,0.9209,0.0227,0.7798,1.9333,-0.645,2.1635,1.7297,1.7359,3.2775,0.84,1.2012,71,NA,81,2.99573227355399,1800,-0.9727,1.0461,1.3961,-0.2882,-0.6214,1.0991,2.0902,0.353,11,1.0478,1.1563,0.7232
0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,2,0,1,0,0,2,1,0,0,2,1,1,2,-0.3809,0.4284,-0.4431,0.0532,-1.3122,0.5448,-0.576,0.1976,0.7429,-1.0524,-2.7904,0.0316,61,14,15,2.19722457733622,2250,-1.072,2.5493,1.3961,-0.2882,0.0333,1.0991,-0.3267,0.6524,8,-1.2278,1.1563,0.7602
1,0,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,7,2,2,2,1,4,2,0,-1.6454,1.4475,2.4937,1.4332,0.2707,3.0127,NA,NA,NA,NA,NA,NA,54,45,18,2.19722457733622,1080,2.5915,-0.8954,1.8543,0.9675,0.8854,1.0991,1.0259,2.0469,13,0.7777,1.1563,-0.3603
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,1,1,1,1,2,0.8351,0.9209,0.4997,2.0781,-0.1323,0.5435,0.5094,-2.4981,0.3708,0.3155,-0.1933,-0.2684,44,NA,38,2.19722457733622,2400,-0.5917,0.5736,-1.0795,0.8242,0.891,0.1004,2.0902,0.6524,13,0.1508,-1.2549,0.036
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,2,2,0,0,3,1,2,1,2,3,4,1,-1.0781,1.4475,-0.3652,-0.0117,-0.0579,0.3783,2.1635,0.9562,1.356,0.7542,0.5317,0.7217,71,69,77,2.07944154167984,1575,-1.5529,0.9908,0.4239,-0.8088,-2.1295,0.3838,0.0134,0.0214,6,-0.5041,-0.7218,2.2039
0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,2,2,0,5,1,0,1,1,2,2,3,0.0039,-0.1164,0.4506,-0.878,-1.2707,0.3319,0.5094,0.5305,0.3708,-1.0524,-0.1933,-0.422,NA,NA,29,1.6094379124341,NA,-1.3694,0.5209,-0.4849,-0.2882,0.0333,-1.2602,0.0134,-0.3816,7,-0.6174,-0.7541,1.1812
0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,4,1,2,0,1,1,2,1,-0.3843,0.2044,-0.3872,-0.2928,-0.4725,-0.1117,-1.2109,-0.0908,-0.5375,-0.8904,-0.5033,-1.7518,64,16,31,3.40119738166216,1440,-0.6981,0.8425,0.7921,-0.2882,-0.8356,-1.3298,-0.2674,-1.2428,15,-0.6174,-0.7218,0.7277
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,2,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,0.2959,-1.0286,-2.4981,NA,NA,NA,-1.7518,NA,NA,NA,NA,1320,-0.2387,0.0647,1.1476,-0.2882,0.0333,-0.0436,NA,NA,5,-0.0144,0.1927,1.1132
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,1,1,1,1,1,4,3,0,-0.2683,1.4475,0.4367,1.1091,0.2175,0.8771,0.5094,0.4805,-1.9301,-0.1972,-0.1933,-0.1032,42,81,31,1.79175946922805,NA,-0.3381,0.0031,1.8543,-0.2882,-0.3735,0.1018,2.4994,2.0469,9,-0.356,1.1563,1.4332
1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,2,1,0,0,0,6,1,2,1,2,4,1,NA,-2.4162,1.4475,-0.3379,1.4501,-0.1677,-1.7932,-0.3398,-0.8161,-1.9301,0.7697,2.1552,0.0479,69,68,NA,NA,1800,0.2035,-1.464,-0.9663,0.8242,-1.039,-0.3289,-1.5255,-1.274,11,-0.6174,-0.5343,0.6161
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,3,7,0,1,0,1,4,4,NA,1.8837,0.3758,-0.2495,0.7888,-0.6123,0.4875,-1.6408,-1.0099,-0.5375,-0.3994,0.2497,0.01,NA,86,24,NA,2250,-0.3381,-0.0465,1.8543,-0.2882,-1.0965,1.0991,0.7051,1.0006,10,2.1655,-2.3196,0.0507
1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,3,2,NA,-0.7439,0.141,0.1809,2.0781,-0.4883,-1.7932,-2.1154,-2.4981,-0.1987,0.1464,-0.5013,-1.7518,43,53,12,3.25809653802148,1400,-0.0251,-0.0374,0.9799,-0.8088,-0.5546,1.0991,0.0134,0.353,7,NA,-0.2275,1.292
1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,2,0,0,0,3,5,1,2,0,1,4,4,1,-0.4547,-0.4527,0.0039,-0.1495,-0.1826,1.0613,1.1049,0.3515,0.3708,0.9274,0.8754,0.1676,69,53,75,2.30258509299405,2000,-0.1862,0.4939,0.4631,0.0407,0.3386,0.5658,-0.7648,0.0214,9,-0.5975,-1.1375,0.4737
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,1,3,5,1,1,0,1,1,1,NA,-0.2296,1.4475,0.5378,2.0781,0.8981,1.6443,0.5094,0.2196,0.3708,0.3155,-0.0978,-0.1074,53,39,NA,2.56494935746154,1575,-0.3381,0.3931,1.8543,1.164,0.6316,1.0991,0.8849,1.3754,16,-0.1338,1.1563,-0.3001
0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,0,4,0,0,1,1,4,2,0,1.1892,1.4475,1.3348,1.4501,0.7611,0.6819,2.1635,-0.1558,1.7359,1.2142,1.5073,1.7019,74,76,57,3.98898404656427,600,-0.8499,0.3366,-0.4495,0.5759,1.0765,0.5658,1.7852,2.0469,9,2.1655,-0.8323,0.4174
1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,4,4,NA,-0.3478,0.1376,0.8043,0.658,1.2247,2.1334,-0.1379,0.3282,0.0125,0.3155,-0.1933,-0.3612,52,25,25,1.38629436111989,NA,-0.8455,0.2626,-0.8234,-1.5691,-1.4959,0.1018,1.2341,0.6524,9,-0.7273,-1.8029,-0.2989
1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,0,0,1,3,6,1,0,1,1,4,4,2,0.2829,0.5458,0.6261,0.658,1.5126,0.8476,2.1635,1.4193,-1.5357,1.7764,1.5073,1.5684,67,75,87,NA,1925,-0.7123,-1.1488,-0.736,0.4252,-2.8294,0.3838,1.7852,0.9835,18,-0.0514,-0.5343,0.677
1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,3,5,1,0,1,0,0,0,0,-0.3164,-0.4496,0.4864,-0.6102,-0.9895,1.689,0.5094,0.0612,-0.0948,-1.062,-0.5942,0.0289,46,12,12,2.83321334405622,1500,-0.6274,1.8135,0.3377,0.0407,0.4713,-0.3306,0.7708,-0.0163,10,-1.6287,-2.3196,-1.1357
1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,2,0,0,0,0,5,1,0,0,2,0,0,1,0.6,0.5683,0.2033,-0.0718,-0.6732,1.2889,-0.3928,-0.2545,-0.2152,-1.2318,0.5975,0.01,64,25,13,NA,1495,1.0269,-0.6844,-0.0495,0.6615,0.4713,0.3838,0.0134,-1e-04,10,-0.9969,-1.1119,0.1529
0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,2,1,1,0,1,0,1,1,2,1,4,2,NA,0.5529,1.4475,0.0161,2.0781,0.7408,-0.0249,0.5553,-0.0034,1.356,-0.0616,2.1552,-0.0765,75,25,23,2.39789527279837,1800,-0.3381,0.2594,-0.4495,0.4252,0.6732,-0.2495,-1.1537,0.0214,8,-0.831,1.1563,0.1119
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,2,7,1,1,0,1,2,2,1,0.0039,0.0322,0.9452,0.7979,-1.0241,0.8961,-0.8208,-0.2458,-0.4807,-0.536,-0.1933,-1.7518,50,25,29,3.49650756146648,1620,-1.871,0.5665,0.7505,-0.5453,0.0333,-0.889,-1.5255,0.0386,8,-1.2278,-0.1639,0.5649
0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,NA,2,4,0,0,0,1,1,0,1,0.3363,-1.6482,0.8656,-2.4476,-0.7439,0.2601,-0.3398,0.1042,-0.4016,0.3003,-0.9026,1.4013,53,71,31,NA,1680,-1.0536,0.206,-0.7689,-1.1938,-1.7083,-1.8864,-1.5255,-0.0163,11,-0.4113,-0.9044,0.3039
0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,2,0,0,0,2,5,2,1,2,1,4,4,1,-0.6614,0.3719,-0.2945,-0.2213,-0.2844,0.4468,0.5094,-0.6418,-0.0948,0.7454,0.231,0.5762,NA,75,NA,3.52636052461616,1800,-0.3381,0.6434,-0.1651,0.4252,0.6732,0.1004,0.8849,-0.3816,11,-0.2107,-0.1108,1.4762
1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,2,0,0,1,0,5,1,2,0,1,3,2,NA,1.3751,1.4475,-0.0993,-0.6102,-0.5645,0.2669,-0.395,0.3315,-0.0575,0.1212,1.225,0.2664,63,69,18,2.484906649788,1750,0.0575,-1.464,1.8543,-0.2882,0.9978,1.0991,-1.5255,0.353,7,-0.4945,-0.1639,0.3305
1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,2,0,0,0,NA,7,2,2,2,1,4,2,0,0.0039,1.4475,0.6609,-0.0718,-1.2707,0.7231,0.5094,0.5305,0.3708,3.2775,-0.1933,1.7582,89,15,NA,3.91202300542815,2400,2.5915,-1.7201,1.8543,0.9455,0.3821,0.5658,0.3842,-0.3816,6,-0.2031,1.1563,-0.3344
1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,2,1,0,0,2,2,1,0,1,1,2,3,NA,-0.5436,1.4475,1.1114,0.4505,-0.3742,1.1924,2.1635,1.0687,0.3708,0.3155,NA,-0.3658,18,25,31,3.2188758248682,NA,0.2947,-1.1832,-0.1651,-0.9705,0.0333,0.5658,1.0606,0.6524,6,-1.6287,-0.9734,0.968
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2,NA,2,2,2,1,4,4,1,1.8837,1.4475,3.1829,2.0781,3.2811,-0.645,2.1635,2.4511,1.7359,3.2775,-2.7904,2.8402,57,70,NA,2.70805020110221,1500,2.5915,2.5493,1.8543,2.2879,2.1017,1.0991,2.4994,2.0469,6,2.1655,1.1563,4.274
0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,2,2,2,3,1.3185,1.4475,3.1298,2.0781,3.2811,3.0127,2.1635,0.5305,1.7359,0.5008,-2.7904,1.7582,89,65,NA,1.79175946922805,2400,0.095,-0.1498,1.8543,-0.777,0.4822,1.0991,2.4994,2.0469,5,-0.0652,-0.1639,1.6693
0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,7,1,0,1,2,2,2,2,1.3185,-0.1271,0.9069,0.191,-0.1119,0.2753,-0.1379,-0.1747,0.3708,-0.2756,-0.1933,-0.7971,71,65,21,0.693147180559945,385,0.0776,-0.3165,-0.8133,-0.2882,1.0765,-0.889,0.7132,-0.3816,8,-0.2107,-0.1639,0.606
0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,2,1,1,0,3,7,1,1,1,1,4,4,1,0.2829,1.4475,0.542,0.2564,0.5038,-1.7932,0.5094,-0.0034,1.7359,-0.0469,0.3019,0.7823,89,69,58,3.40119738166216,1750,-0.983,0.206,0.1717,-0.8088,-1.6621,-0.889,0.8631,0.0214,8,0.6093,1.1563,1.187
1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,2,2,3,2,1,0,1,1,1,1,NA,-0.7968,-0.2967,-0.0164,-0.6102,-1.2707,0.7231,-0.8208,-2.4981,0.3708,-1.0524,-1.0761,-0.5575,NA,17,NA,4.18965474202643,NA,-0.3381,-0.6871,-0.1651,-0.2882,0.0333,0.2493,0.0134,-0.3816,8,-1.2278,-1.746,1.1416
0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,2,0,1,0,3,6,1,2,2,2,3,4,NA,-0.5436,-0.2651,-0.4965,-0.8671,0.8981,-0.0465,0.5094,0.7697,-0.5375,0.1878,0.7467,-0.1079,66,69,77,2.07944154167984,1935,-0.8814,0.5632,1.8543,2.2879,-1.039,-0.2495,2.4994,-0.3816,10,1.0478,-0.1639,0.6515
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,2,0,1,0,0,7,1,1,1,1,4,2,1,0.0091,-0.1164,0.8773,1.0322,0.6344,-1.7932,0.8931,0.2913,1.7359,0.9743,1.4394,-0.422,89,71,54,2.07944154167984,2400,-0.66,0.765,0.2405,0.8242,0.9978,0.3838,0.0134,-1.2428,13,0.0768,-0.6303,1.9031
0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,1,0,0,7,1,2,1,1,4,4,3,1.8837,1.4475,0.1403,-1.7885,0.3194,9e-04,1.1074,0.4913,1.7359,1.2076,2.1552,0.9449,89,71,65,2.83321334405622,1750,2.5915,0.3781,1.8543,2.2879,-0.2097,1.0991,0.648,2.0469,10,2.1655,1.1563,2.9098
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,0,2,0,0,5,1,2,1,1,4,4,2,0.8033,-2.1709,-0.5756,-0.2123,0.3052,0.1574,0.5094,-0.311,0.0125,1.2048,2.1552,-0.0669,66,76,71,2.77258872223978,1925,0.5643,-0.0436,1.0385,1.0205,-1.3972,0.4662,-0.8345,-1e-04,9,-0.2107,1.1563,1.6608
0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,0,0,0,0,1,1,1,2,0.5529,0.4284,-0.2842,-0.6819,0.2665,-1.0294,0.5094,-0.833,0.4984,-0.2367,-0.7443,-1.7518,NA,25,NA,1.6094379124341,NA,-0.1515,0.5209,-0.2803,-1.1533,0.0333,-1.9546,0.212,0.0386,9,-0.831,-3.0852,-1.292
1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,2,0,1,1,1,1,1,1,1,0,0.0039,-0.2651,0.5736,-0.6102,-1.2707,0.7231,0.5094,0.0979,0.8155,-0.0207,-1.2493,0.9725,NA,57,50,3.17805383034795,1800,-0.3381,0.7186,-0.4849,-1.1533,0.0333,-0.3306,0.324,-0.3816,8,0.0433,-1.4432,-0.917
0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,2,0,0,0,0,2,2,1,2,1,2,2,NA,0.2829,-0.4527,-0.2294,-0.0057,0.6768,-0.1063,-0.3793,-0.7097,-1.9301,-0.2154,1.1174,-0.422,68,53,75,3.52636052461616,2205,-0.8174,0.7806,-0.4414,0.395,-2.1295,-0.4244,-0.1054,0.3029,7,-0.2107,-0.6172,0.5483
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,1,2,2,NA,1.8048,1.4475,3.1829,0.4505,0.0194,0.3314,0.5553,2.4511,0.3708,0.3155,-0.1933,0.9725,60,NA,28,3.40119738166216,2160,-0.3381,-0.2039,0.1627,0.5759,0.0333,0.1018,1.0606,-0.3816,6,-0.7273,-0.7218,-0.04
1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,NA,NA,NA,NA,0,0,2,NA,0.0039,NA,NA,NA,NA,NA,-0.0902,NA,NA,NA,NA,-0.1701,53,NA,30,2.63905732961526,270,0.3462,0.7291,0.959,NA,NA,-0.889,NA,NA,4,-0.831,-2.0662,-1.538
0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,0,0,NA,0,3,1,2,0,1,4,2,1,0.2173,1.4475,-0.4466,0.3221,-0.1679,-1.0294,0.5094,0.1537,0.3708,0.3799,-0.1933,1.2541,89,71,18,3.17805383034795,NA,2.5915,-0.3837,0.592,2.2879,2.1017,0.1018,1.0606,2.0469,6,0.0433,0.0321,1.4334
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,2,2,2,0,0,1,0,0,1,2,NA,NA,-0.6847,0.0322,-0.5424,-0.3693,-1.2707,0.1703,-0.4593,-0.14,-0.5375,-3.7565,-0.1933,-1.7518,NA,31,NA,NA,2000,-1.0536,0.8459,-0.9233,-1.1533,-1.2798,-0.889,0.7708,0.353,9,-1.6287,-1.4682,-1.2336
0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,1,0,6,1,1,1,1,3,2,0,-0.5436,NA,-0.0258,NA,-0.4747,-0.7229,-0.8208,0.1803,0.7648,0.0893,-0.1933,NA,NA,NA,73,NA,1750,-1.0636,0.2092,1.8543,-0.2882,-1.4339,-0.9404,NA,NA,11,NA,-0.6248,0.1887
0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,7,1,1,0,1,4,4,NA,-2.4162,-0.1495,-1.4824,-0.3048,0.6519,-0.3725,-1.4885,-1.3032,-1.3072,-1.0479,-0.3409,-1.7518,59,17,29,2.19722457733622,2200,2.5915,1.7184,1.3961,0.6615,-0.2986,0.1018,-0.7181,0.6374,8,-0.2107,0.0321,1.1486
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,3,7,2,2,2,1,2,2,3,0.0039,-0.1164,0.9452,-0.6102,-0.056,-0.3553,0.5094,0.5305,-0.5375,0.3155,-0.1933,0.9725,46,30,31,3.71357206670431,2125,-0.2687,0.5209,0.1111,-0.9705,-1.039,-1.3298,0.0134,-0.3816,13,1.0478,-0.2044,0.3101
0,0,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,2,7,0,0,0,0,0,4,1,0.5664,-1.4605,0.0656,-1.3272,NA,NA,NA,NA,NA,NA,NA,NA,89,56,25,2.70805020110221,1800,-1.0399,0.4415,1.8543,0.395,-0.3,0.5658,-0.413,NA,7,0.0433,0.0321,-0.5719
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,2,2,1,NA,5,0,0,0,1,2,3,NA,-0.4444,-1.0718,0.6761,0.1118,-0.3365,-1.7932,-0.1336,0.5305,0.3708,0.5008,-0.1933,-1.7518,74,25,18,3.40119738166216,2800,-1.2157,1.1168,1.8543,2.2879,2.1017,-0.889,0.7386,-1e-04,17,-0.4343,-1.0668,-0.4387
1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,3,2,0,0,0,0,2,3,NA,1.8837,-2.7195,-3.3405,-2.4476,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,21,NA,990,-1.0682,1.3538,1.3961,1.5899,0.0333,0.2493,-1.5255,-1.9656,13,-0.7039,-1.3175,-0.2011
1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,2,0,0,0,1,5,1,1,1,1,4,4,3,-0.9448,0.5731,0.0333,0.658,0.0194,0.7844,0.125,0.4161,0.3708,0.714,0.5844,0.8002,72,75,81,2.30258509299405,2800,-1e-04,-0.1593,1.3961,-0.2882,-1.039,1.0991,0.0134,1.0006,11,2.1655,1.1563,1.0682
0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,27,NA,NA,NA,-0.7346,0.5209,-0.1651,-0.2882,0.0333,1.0991,NA,NA,6,-0.2818,-0.7541,-0.0724
1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,2,6,1,1,0,0,4,1,NA,-1.9061,-0.7115,-0.223,0.2483,-0.171,1.2847,0.1458,1.4766,0.3708,-0.9727,-0.1496,1.939,80,NA,57,NA,2160,1.5611,-0.5726,0.2405,0.9455,-0.3,1.0991,1.1281,0.3379,12,-0.356,1.1563,1.5539
1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,0,1,1,0,5,1,1,1,1,4,4,3,0.7011,-0.0143,-0.0215,1.1203,2.2983,0.0766,1.6903,0.7736,0.3708,1.46,1.5636,1.2351,89,76,75,2.77258872223978,1575,-0.7768,1.7184,0.6381,1.4116,-1.4959,-1.3298,-1.5255,0.6524,17,2.1655,-0.6303,1.562
0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,2,2,0,3,0,1,0,1,2,2,NA,-1.0538,0.5731,0.5245,1.4332,-0.2702,-1.7932,1.3247,-0.5551,-0.4595,0.5138,1.1859,0.337,NA,NA,73,NA,300,-0.5917,-0.9464,-0.9566,-0.9705,-2.215,0.1004,1.6291,0.687,9,2.1655,-1.1119,-0.3487
